time,src,dst,sport,dport,length,proto,anomaly
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,10.12.54.253,172.67.72.185,56218,443,102,6,1
17:25:32,10.12.54.253,104.26.12.13,53644,443,128,6,1
17:25:32,10.12.54.253,104.26.12.13,53644,443,93,6,1
17:25:32,172.67.72.185,10.12.54.253,443,56218,60,6,1
17:25:32,104.26.12.13,10.12.54.253,443,53644,93,6,1
17:25:32,104.26.12.13,10.12.54.253,443,53644,60,6,1
17:25:32,104.26.12.13,10.12.54.253,443,53644,60,6,1
17:25:32,10.12.54.253,104.26.12.13,53644,443,54,6,1
17:25:32,10.12.54.253,104.26.12.13,53644,443,54,6,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,350,17,1
17:25:32,104.26.12.13,10.12.54.253,443,53644,323,6,1
17:25:32,10.12.54.253,104.26.12.13,53644,443,54,6,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,364,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,10.12.17.188,224.0.0.251,5353,5353,875,17,-1
17:25:32,20.59.87.226,10.12.54.253,443,58941,486,6,-1
17:25:32,10.12.54.253,20.59.87.226,58941,443,132,6,1
17:25:32,20.59.87.226,10.12.54.253,443,58941,60,6,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,362,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
17:25:32,0.0.0.0,255.255.255.255,68,67,342,17,1
